Symbol,Price,Change,ChangePercent,MarketCap,PERatio,EPS,High52Week,Low52Week,AvgVolume10D,AvgVolume3M
DUOL,117.45,5.8,5.1948,5150.4736,13.3426,7.8874,544.93,104.51,2.35881,2.08087
RBLX,71.4,3.33,4.892,48241.586,,-1.5418999999999998,150.59,50.1,11.37473,10.16548
U,19.58,1,5.3821,8044.91,,-0.9562,52.15,15.33,29.75844,13.11059
JPM,306.13,2.83,0.9331,825642.5,14.4728,20.502499999999998,337.25,202.16,9.65032,9.70199
BAC,52.3,0.61,1.1801,377500.38,12.3253,4.0055000000000005,57.55,33.065,42.82092,38.13435
WFC,86.3,-0.46,-0.5302,281636.3,13.1988,6.586,97.76,58.42,14.60857,15.1294
C,116.19,1.85,1.618,200017.12,13.9813,7.614500000000001,125.16,55.51,14.14824,13.37334
GS,929,7.62,0.827,279329.4,16.2628,54.0624,984.7,439.38,2.25941,2.20708
MS,177.49,3.76,2.1643,281702.28,16.7073,10.5903,192.68,94.3301,7.79377,6.28422
BLK,1090.27,-3.51,-0.3209,178438.1,32.1336,34.6566,1219.94,773.7401,0.7884,0.69547
AXP,335.32,8.23,2.5161,229892.1,21.2215,15.563899999999999,387.49,220.43,4.08681,2.89675
V,316.7,3.71,1.1853,602947,28.999,10.6547,375.51,299,8.75862,7.1817
MA,514.77,5.38,1.0562,459140.66,30.6748,16.520500000000002,601.77,465.59,3.95219,3.31621
COF,208.47,2.68,1.3023,129654.07,52.8553,3.5669999999999984,259.635,143.22,5.61673,4.61606
USB,57.26,1.21,2.1588,88653.88,11.7112,4.8591999999999995,61.19,35.18,9.80626,9.85403
PNC,222.82,0.87,0.392,90094.914,12.9895,17.511899999999997,243.94,145.12,2.25282,2.30374
TFC,51.5,0.93,1.839,64691.48,12.1898,4.0758,56.195,33.56,8.36558,8.86349
BK,121.61,1.3,1.0805,84326.12,,2.0719,128.76,70.46,4.06592,3.65214
STT,132.27,0.65,0.4938,36963.54,12.5513,10.1964,137.0499,72.81,1.76748,2.08611
SCHW,97.52,2.17,2.2758,173286.88,19.576,4.9003,107.5,65.88,14.57666,9.87422
IBKR,74.56,0.91,1.2356,124917.766,126.9489,2.2152000000000003,79.18,32.82,4.04085,4.56431
SOFI,19.1,-0.19,-0.985,24599.84,51.1091,0.3791,32.73,8.6,60.36656,62.82691
